;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V),M1(V)
238,-0.003762,0.931516,0.927455,0.00390625
239,-0.003761,0.931516,0.927455,0.00390625
240,-0.00376,0.92989,0.925817,0.00390625
241,-0.003759,0.92989,0.925817,0.00390625
242,-0.003758,0.92989,0.925817,0.00390625
243,-0.003757,0.931516,0.925817,0.00488281
244,-0.003756,0.931516,0.929092,0.00292969
245,-0.003755,0.933143,0.927455,0.00488281
246,-0.003754,0.933143,0.929092,0.00390625
247,-0.003753,0.933143,0.927455,0.00488281
248,-0.003752,0.931516,0.927455,0.00390625
249,-0.003751,0.934769,0.93073,0.00390625
250,-0.00375,0.933143,0.929092,0.00390625
251,-0.003749,0.934769,0.929092,0.00488281
252,-0.003748,0.934769,0.93073,0.00390625
253,-0.003747,0.933143,0.93073,0.00292969
254,-0.003746,0.933143,0.927455,0.00488281
255,-0.003745,0.933143,0.929092,0.00390625
256,-0.003744,0.92989,0.925817,0.00390625
257,-0.003743,0.931516,0.929092,0.00292969
258,-0.003742,0.931516,0.927455,0.00390625
259,-0.003741,0.933143,0.929092,0.00390625
260,-0.00374,0.931516,0.925817,0.00488281
261,-0.003739,0.92989,0.924179,0.00488281
262,-0.003738,0.92989,0.925817,0.00390625
263,-0.003737,0.931516,0.925817,0.00488281
264,-0.003736,0.92989,0.925817,0.00390625
265,-0.003735,0.92989,0.924179,0.00488281
266,-0.003734,0.928264,0.925817,0.00292969
267,-0.003733,0.926637,0.922542,0.00390625
268,-0.003732,0.926637,0.920904,0.00488281
269,-0.003731,0.923385,0.919267,0.00390625
270,-0.00373,0.923385,0.919267,0.00390625
271,-0.003729,0.925011,0.920904,0.00390625
272,-0.003728,0.925011,0.922542,0.00292969
273,-0.003727,0.923385,0.917629,0.00488281
274,-0.003726,0.921758,0.915991,0.00488281
275,-0.003725,0.920132,0.917629,0.00292969
276,-0.003724,0.91688,0.914354,0.00292969
277,-0.003723,0.920132,0.914354,0.00488281
278,-0.003722,0.921758,0.914354,0.0078125
279,-0.003721,0.920132,0.914354,0.00488281
280,-0.00372,0.918506,0.914354,0.00390625
281,-0.003719,0.91688,0.911079,0.00488281
282,-0.003718,0.913627,0.907804,0.00488281
283,-0.003717,0.913627,0.907804,0.00488281
284,-0.003716,0.910374,0.906166,0.00390625
285,-0.003715,0.912001,0.906166,0.00488281
