;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
353,-0.003647,0.777018
354,-0.003646,0.773765
355,-0.003645,0.770512
356,-0.003644,0.76726
357,-0.003643,0.762381
358,-0.003642,0.759128
359,-0.003641,0.754249
360,-0.00364,0.750997
361,-0.003639,0.746118
362,-0.003638,0.742865
363,-0.003637,0.739613
364,-0.003636,0.734734
365,-0.003635,0.731481
366,-0.003634,0.726602
367,-0.003633,0.72335
368,-0.003632,0.718471
369,-0.003631,0.715218
370,-0.00363,0.710339
371,-0.003629,0.707087
372,-0.003628,0.703834
373,-0.003627,0.697329
374,-0.003626,0.694076
375,-0.003625,0.689197
376,-0.003624,0.684318
377,-0.003623,0.681066
378,-0.003622,0.674561
379,-0.003621,0.671308
380,-0.00362,0.668055
381,-0.003619,0.663176
382,-0.003618,0.658298
383,-0.003617,0.651792
384,-0.003616,0.650166
385,-0.003615,0.643661
386,-0.003614,0.640408
387,-0.003613,0.635529
388,-0.003612,0.632277
389,-0.003611,0.625772
390,-0.00361,0.620893
391,-0.003609,0.61764
392,-0.003608,0.612761
393,-0.003607,0.607882
394,-0.003606,0.601377
395,-0.003605,0.598124
396,-0.003604,0.591619
397,-0.003603,0.588367
398,-0.003602,0.583488
399,-0.003601,0.578609
400,-0.0036,0.57373
401,-0.003599,0.567225
402,-0.003598,0.562346
403,-0.003597,0.559093
404,-0.003596,0.554214
405,-0.003595,0.549335
406,-0.003594,0.54283
407,-0.003593,0.537951
408,-0.003592,0.531446
409,-0.003591,0.528193
410,-0.00359,0.523315
411,-0.003589,0.518436
412,-0.003588,0.515183
413,-0.003587,0.508678
414,-0.003586,0.500546
415,-0.003585,0.497294
416,-0.003584,0.492415
417,-0.003583,0.487536
418,-0.003582,0.481031
419,-0.003581,0.474525
420,-0.00358,0.471273
421,-0.003579,0.464768
422,-0.003578,0.458262
423,-0.003577,0.45501
424,-0.003576,0.450131
425,-0.003575,0.443626
426,-0.003574,0.438747
427,-0.003573,0.433868
428,-0.003572,0.427363
429,-0.003571,0.422484
430,-0.00357,0.417605
431,-0.003569,0.4111
432,-0.003568,0.406221
433,-0.003567,0.399716
434,-0.003566,0.396463
435,-0.003565,0.388331
436,-0.003564,0.383453
437,-0.003563,0.376947
438,-0.003562,0.370442
439,-0.003561,0.365563
440,-0.00356,0.362311
441,-0.003559,0.354179
442,-0.003558,0.347674
443,-0.003557,0.341169
444,-0.003556,0.334663
445,-0.003555,0.331411
446,-0.003554,0.328158
447,-0.003553,0.321653
448,-0.003552,0.315148
449,-0.003551,0.308643
450,-0.00355,0.302137
451,-0.003549,0.297259
452,-0.003548,0.290753
453,-0.003547,0.287501
454,-0.003546,0.280996
455,-0.003545,0.27449
456,-0.003544,0.266359
457,-0.003543,0.26148
458,-0.003542,0.256601
459,-0.003541,0.250096
460,-0.00354,0.245217
461,-0.003539,0.238712
462,-0.003538,0.232206
463,-0.003537,0.225701
464,-0.003536,0.219196
465,-0.003535,0.214317
466,-0.003534,0.209438
467,-0.003533,0.202933
468,-0.003532,0.198054
469,-0.003531,0.188296
470,-0.00353,0.185044
471,-0.003529,0.178539
472,-0.003528,0.172033
473,-0.003527,0.165528
474,-0.003526,0.162275
475,-0.003525,0.15577
476,-0.003524,0.149265
477,-0.003523,0.14276
478,-0.003522,0.136255
479,-0.003521,0.129749
480,-0.00352,0.123244
481,-0.003519,0.119992
482,-0.003518,0.113486
483,-0.003517,0.105355
484,-0.003516,0.0988497
485,-0.003515,0.0923445
486,-0.003514,0.0858393
487,-0.003513,0.0825867
488,-0.003512,0.0744552
489,-0.003511,0.0695763
490,-0.00351,0.0663237
491,-0.003509,0.0565659
492,-0.003508,0.0500607
493,-0.003507,0.0451818
494,-0.003506,0.0386765
495,-0.003505,0.0321713
496,-0.003504,0.0289187
497,-0.003503,0.0207872
498,-0.003502,0.014282
499,-0.003501,0.00777681
500,-0.0035,0.0012716
501,-0.003499,-0.00523361
502,-0.003498,-0.00685991
503,-0.003497,-0.0166177
504,-0.003496,-0.0198703
505,-0.003495,-0.0263755
506,-0.003494,-0.034507
507,-0.003493,-0.0377596
508,-0.003492,-0.0458912
509,-0.003491,-0.0507701
510,-0.00349,-0.0572753
511,-0.003489,-0.0637805
512,-0.003488,-0.0702857
513,-0.003487,-0.0767909
514,-0.003486,-0.0832961
515,-0.003485,-0.0898013
516,-0.003484,-0.0963065
517,-0.003483,-0.0995591
518,-0.003482,-0.106064
519,-0.003481,-0.11257
520,-0.00348,-0.119075
521,-0.003479,-0.12558
522,-0.003478,-0.132085
523,-0.003477,-0.13859
524,-0.003476,-0.145096
525,-0.003475,-0.148348
526,-0.003474,-0.154853
527,-0.003473,-0.162985
528,-0.003472,-0.16949
529,-0.003471,-0.174369
530,-0.00347,-0.180874
531,-0.003469,-0.185753
532,-0.003468,-0.190632
533,-0.003467,-0.197137
534,-0.003466,-0.203642
535,-0.003465,-0.210148
536,-0.003464,-0.216653
537,-0.003463,-0.223158
538,-0.003462,-0.226411
539,-0.003461,-0.232916
540,-0.00346,-0.239421
541,-0.003459,-0.245926
542,-0.003458,-0.254058
543,-0.003457,-0.25731
544,-0.003456,-0.263816
545,-0.003455,-0.270321
546,-0.003454,-0.273573
547,-0.003453,-0.281705
548,-0.003452,-0.28821
549,-0.003451,-0.293089
550,-0.00345,-0.299594
551,-0.003449,-0.306099
552,-0.003448,-0.307726
553,-0.003447,-0.315857
554,-0.003446,-0.322362
555,-0.003445,-0.328868
556,-0.003444,-0.333747
557,-0.003443,-0.338625
558,-0.003442,-0.345131
559,-0.003441,-0.35001
560,-0.00344,-0.356515
561,-0.003439,-0.361394
562,-0.003438,-0.367899
563,-0.003437,-0.374404
564,-0.003436,-0.379283
565,-0.003435,-0.382536
566,-0.003434,-0.390667
567,-0.003433,-0.395546
568,-0.003432,-0.402051
569,-0.003431,-0.405304
570,-0.00343,-0.411809
571,-0.003429,-0.418314
572,-0.003428,-0.423193
573,-0.003427,-0.428072
574,-0.003426,-0.434577
575,-0.003425,-0.439456
576,-0.003424,-0.445961
577,-0.003423,-0.449214
578,-0.003422,-0.455719
579,-0.003421,-0.462224
580,-0.00342,-0.467103
581,-0.003419,-0.473609
582,-0.003418,-0.478487
583,-0.003417,-0.48174
584,-0.003416,-0.486619
585,-0.003415,-0.491498
586,-0.003414,-0.498003
587,-0.003413,-0.504508
588,-0.003412,-0.511014
589,-0.003411,-0.514266
590,-0.00341,-0.519145
591,-0.003409,-0.522398
592,-0.003408,-0.530529
593,-0.003407,-0.533782
594,-0.003406,-0.541913
595,-0.003405,-0.548418
596,-0.003404,-0.551671
597,-0.003403,-0.554924
598,-0.003402,-0.558176
599,-0.003401,-0.563055
600,-0.0034,-0.56956
601,-0.003399,-0.576066
602,-0.003398,-0.582571
603,-0.003397,-0.585823
604,-0.003396,-0.589076
605,-0.003395,-0.592329
606,-0.003394,-0.595581
607,-0.003393,-0.605339
608,-0.003392,-0.611844
609,-0.003391,-0.615097
610,-0.00339,-0.619976
611,-0.003389,-0.623228
612,-0.003388,-0.626481
613,-0.003387,-0.63136
614,-0.003386,-0.637865
615,-0.003385,-0.641118
616,-0.003384,-0.649249
617,-0.003383,-0.652502
618,-0.003382,-0.655754
619,-0.003381,-0.659007
620,-0.00338,-0.66226
621,-0.003379,-0.668765
622,-0.003378,-0.673644
623,-0.003377,-0.680149
624,-0.003376,-0.683402
625,-0.003375,-0.686654
626,-0.003374,-0.689907
627,-0.003373,-0.693159
628,-0.003372,-0.696412
629,-0.003371,-0.704543
630,-0.00337,-0.709422
631,-0.003369,-0.714301
632,-0.003368,-0.715928
633,-0.003367,-0.717554
634,-0.003366,-0.724059
635,-0.003365,-0.727312
636,-0.003364,-0.730564
637,-0.003363,-0.738696
638,-0.003362,-0.740322
639,-0.003361,-0.743575
640,-0.00336,-0.746827
641,-0.003359,-0.75008
642,-0.003358,-0.756585
643,-0.003357,-0.761464
644,-0.003356,-0.764717
645,-0.003355,-0.771222
646,-0.003354,-0.772848
647,-0.003353,-0.774474
648,-0.003352,-0.777727
649,-0.003351,-0.78098
650,-0.00335,-0.785859
651,-0.003349,-0.790737
652,-0.003348,-0.79399
653,-0.003347,-0.798869
654,-0.003346,-0.798869
655,-0.003345,-0.803748
656,-0.003344,-0.805374
657,-0.003343,-0.811879
658,-0.003342,-0.813506
659,-0.003341,-0.820011
660,-0.00334,-0.820011
661,-0.003339,-0.823263
662,-0.003338,-0.82489
663,-0.003337,-0.829769
664,-0.003336,-0.833021
665,-0.003335,-0.836274
666,-0.003334,-0.841153
667,-0.003333,-0.844405
668,-0.003332,-0.846032
669,-0.003331,-0.846032
670,-0.00333,-0.852537
671,-0.003329,-0.855789
672,-0.003328,-0.859042
673,-0.003327,-0.860668
674,-0.003326,-0.863921
675,-0.003325,-0.865547
676,-0.003324,-0.867174
677,-0.003323,-0.870426
678,-0.003322,-0.875305
679,-0.003321,-0.878558
680,-0.00332,-0.880184
681,-0.003319,-0.88181
682,-0.003318,-0.883437
683,-0.003317,-0.886689
684,-0.003316,-0.889942
685,-0.003315,-0.891568
686,-0.003314,-0.898073
687,-0.003313,-0.8997
688,-0.003312,-0.8997
689,-0.003311,-0.8997
690,-0.00331,-0.902952
691,-0.003309,-0.906205
692,-0.003308,-0.909457
693,-0.003307,-0.91271
694,-0.003306,-0.914336
695,-0.003305,-0.914336
696,-0.003304,-0.917589
697,-0.003303,-0.919215
698,-0.003302,-0.920842
699,-0.003301,-0.924094
700,-0.0033,-0.925721
701,-0.003299,-0.928973
702,-0.003298,-0.928973
703,-0.003297,-0.928973
704,-0.003296,-0.932226
705,-0.003295,-0.933852
706,-0.003294,-0.937105
707,-0.003293,-0.938731
708,-0.003292,-0.938731
709,-0.003291,-0.941984
710,-0.00329,-0.940357
711,-0.003289,-0.94361
712,-0.003288,-0.945236
713,-0.003287,-0.948489
714,-0.003286,-0.946862
715,-0.003285,-0.950115
716,-0.003284,-0.950115
717,-0.003283,-0.950115
718,-0.003282,-0.951741
719,-0.003281,-0.951741
720,-0.00328,-0.958247
721,-0.003279,-0.958247
722,-0.003278,-0.958247
723,-0.003277,-0.958247
724,-0.003276,-0.959873
725,-0.003275,-0.959873
726,-0.003274,-0.959873
727,-0.003273,-0.963125
728,-0.003272,-0.964752
729,-0.003271,-0.966378
730,-0.00327,-0.963125
731,-0.003269,-0.964752
732,-0.003268,-0.966378
733,-0.003267,-0.968004
734,-0.003266,-0.969631
735,-0.003265,-0.969631
736,-0.003264,-0.969631
737,-0.003263,-0.971257
738,-0.003262,-0.971257
739,-0.003261,-0.971257
740,-0.00326,-0.971257
741,-0.003259,-0.969631
742,-0.003258,-0.972883
743,-0.003257,-0.972883
744,-0.003256,-0.971257
745,-0.003255,-0.97451
746,-0.003254,-0.97451
747,-0.003253,-0.97451
748,-0.003252,-0.97451
749,-0.003251,-0.972883
750,-0.00325,-0.97451
751,-0.003249,-0.97451
752,-0.003248,-0.971257
753,-0.003247,-0.972883
754,-0.003246,-0.97451
755,-0.003245,-0.97451
756,-0.003244,-0.97451
757,-0.003243,-0.972883
758,-0.003242,-0.969631
759,-0.003241,-0.971257
760,-0.00324,-0.969631
761,-0.003239,-0.972883
762,-0.003238,-0.972883
763,-0.003237,-0.971257
764,-0.003236,-0.971257
765,-0.003235,-0.966378
766,-0.003234,-0.966378
767,-0.003233,-0.969631
768,-0.003232,-0.969631
769,-0.003231,-0.968004
770,-0.00323,-0.964752
771,-0.003229,-0.966378
772,-0.003228,-0.964752
773,-0.003227,-0.961499
774,-0.003226,-0.963125
775,-0.003225,-0.963125
776,-0.003224,-0.959873
777,-0.003223,-0.959873
778,-0.003222,-0.959873
779,-0.003221,-0.95662
780,-0.00322,-0.95662
781,-0.003219,-0.954994
782,-0.003218,-0.954994
783,-0.003217,-0.954994
784,-0.003216,-0.951741
785,-0.003215,-0.951741
786,-0.003214,-0.948489
787,-0.003213,-0.948489
788,-0.003212,-0.946862
789,-0.003211,-0.946862
790,-0.00321,-0.94361
791,-0.003209,-0.94361
792,-0.003208,-0.940357
793,-0.003207,-0.940357
794,-0.003206,-0.937105
795,-0.003205,-0.937105
796,-0.003204,-0.937105
797,-0.003203,-0.932226
798,-0.003202,-0.932226
799,-0.003201,-0.928973
800,-0.0032,-0.927347
801,-0.003199,-0.924094
802,-0.003198,-0.924094
803,-0.003197,-0.920842
804,-0.003196,-0.920842
805,-0.003195,-0.915963
806,-0.003194,-0.915963
807,-0.003193,-0.914336
808,-0.003192,-0.911084
809,-0.003191,-0.909457
810,-0.00319,-0.906205
811,-0.003189,-0.904579
812,-0.003188,-0.901326
813,-0.003187,-0.898073
814,-0.003186,-0.898073
815,-0.003185,-0.894821
816,-0.003184,-0.891568
817,-0.003183,-0.889942
818,-0.003182,-0.886689
819,-0.003181,-0.885063
820,-0.00318,-0.88181
821,-0.003179,-0.88181
822,-0.003178,-0.876931
823,-0.003177,-0.873679
824,-0.003176,-0.870426
825,-0.003175,-0.867174
826,-0.003174,-0.865547
827,-0.003173,-0.863921
828,-0.003172,-0.862295
829,-0.003171,-0.857416
830,-0.00317,-0.854163
831,-0.003169,-0.850911
832,-0.003168,-0.847658
833,-0.003167,-0.844405
834,-0.003166,-0.842779
835,-0.003165,-0.841153
836,-0.003164,-0.8379
837,-0.003163,-0.833021
838,-0.003162,-0.829769
839,-0.003161,-0.826516
840,-0.00316,-0.821637
841,-0.003159,-0.821637
842,-0.003158,-0.820011
843,-0.003157,-0.813506
844,-0.003156,-0.810253
845,-0.003155,-0.807
846,-0.003154,-0.802122
847,-0.003153,-0.798869
848,-0.003152,-0.797243
849,-0.003151,-0.79399
850,-0.00315,-0.790737
851,-0.003149,-0.785859
852,-0.003148,-0.78098
853,-0.003147,-0.777727
854,-0.003146,-0.774474
855,-0.003145,-0.771222
856,-0.003144,-0.767969
857,-0.003143,-0.764717
858,-0.003142,-0.759838
859,-0.003141,-0.754959
860,-0.00314,-0.751706
861,-0.003139,-0.746827
862,-0.003138,-0.743575
863,-0.003137,-0.740322
864,-0.003136,-0.737069
865,-0.003135,-0.732191
866,-0.003134,-0.727312
867,-0.003133,-0.724059
868,-0.003132,-0.71918
869,-0.003131,-0.715928
870,-0.00313,-0.712675
871,-0.003129,-0.70617
872,-0.003128,-0.704543
873,-0.003127,-0.698038
874,-0.003126,-0.693159
875,-0.003125,-0.68828
876,-0.003124,-0.685028
